"ID","Name of the vaccine","Microbe","Disease name","Name of bacteria","Type of vaccine","Nucleic acid content","Age","Description of the vaccine","Name of the manufacturer","Name of the manufacturing country","Year of manufacture","Clinical Phase status","Bacterial strain","Efficacy","Vaccine formulation","Dosage","Mechanism of action","Route of administration","Indications","Export","Approval","Adjuvant","Repurposing","Side effects of vaccine","Post vaccination","Dose type","Interspecies transfer","PubMed identifier","Clinical trial number","Reference","Other Name","Additional Links"
"1012","Quadracel","Bacteria","Diphtheria","Corynebacterium diphtheriae","Inactivated","DNA","4 to 6 years","Diphtheria and Tetanus Toxoids and Acellular Pertussis Adsorbed and Inactivated Poliovirus Vaccine (DTaP vaccine).","Sanofi Pasteur Limited","Canada","2015","Approved","Gram-positive bacillus.","100% of immunized children achieved serum diphtheria and tetanus antitoxin levels of at least 0.01 IU/mL .\n99 and 100% achieved serum antitoxin levels of at least 0.1 IU/mL.\nAfter booster dose, 100% achieved serum antitoxin levels of at least 0.1 IU/mL.","Suspension for injection","Single dose (0.5 mL) vials.","Serum diphtheria antitoxin level of 1 IU/ml provides long-term protection.","Intramuscular","If Quadracel is administered to immunocompromised persons the expected immune response may not be obtained.","Distributed by - Sanofi Pasteur Inc., USA","US FDA","Aluminium phosphate","Could be used for pertussis, tetanus and poliovirus.","Pain, increase in arm circumference, erythema, swelling, myalgia, malaise, and headache.","NA","Single dose","NA","NA","NA","https://www.fda.gov/media/91640/download","DTaP","https://products.sanofi.ca/en/quadracel.pdf"
"1013","Adacel","Bacteria","Diphtheria","Corynebacterium diphtheriae","Inactivated","DNA","10 to 64 years","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis vaccine adsorbed (Tdap vaccine).","Sanofi Pasteur Limited","Canada","2005","Approved","Gram-positive bacillus.","Based on the immune response compared to US licensed Tetanus and Diphtheria Toxoids Adsorbed For Adult Use (Td) vaccine.","Suspension for injection","Single 0.5 mL injection with first dose and wound management at 5 years, repeat vaccination at 8 years.","Serum diphtheria antitoxin level of 1 IU/ml provides long-term protection.","Intramuscular","Active booster immunization against tetanus, diphtheria and pertussis.","Distributed by - Sanofi Pasteur Inc., USA","US FDA","Aluminium phosphate","Could be used for pertussis and tetanus.","Injection site pain, myalgia, headache, malaise, body ache, tiredness, injection site swelling and erythema. ","NA","Single dose","NA","NA","NA","https://www.fda.gov/media/119862/download","Tdap","https://www.rxlist.com/adacel-drug.htm#clinpharm"
"1014","Pediarix","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","6 weeks to 6 years","Diphtheria, tetanus toxoids and acellular pertussis adsorbed, hepatitis B (recombinant) and inactivated poliovirus vaccine.","GlaxoSmithKline Biologicals and GSK Vaccines GmbH","Belgium and Germany","2002","Approved","Gram-positive bacillus.","Based on the immunogenicity of the individual antigens compared to licensed vaccines. ","Suspension for injection","Three doses (0.5-mL each) at 2, 4, and 6 months of age.","Serum diphtheria antitoxin level of 0.1 IU/ml is protective.\n  \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n\n \n \n \n \n","Intramuscular","Active immunization against diphtheria, tetanus, pertussis, all known subtypes of hepatitis B virus, and poliomyelitis.","Distributed by - GlaxoSmithKline","US FDA","Aluminium salts","Could be used for pertussis and tetanus.","Pain, redness, and swelling, fever, drowsiness, irritability and loss of appetite.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/79830/download","Diphtheria, hepatitis B, pertussis (acellular), polio, and tetanus vaccine","https://www.drugs.com/pediarix.html"
"1015","Kinrix","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","4 to 6 years","Diphtheria, tetanus toxoids, acellular pertussis adsorbed and inactivated poliovirus vaccine.","GlaxoSmithKline Biologicals and GSK Vaccines GmbH","Belgium and Germany","2008","Approved","Gram-positive bacillus.","Assessed by comparing antibody levels one month after vaccination with known serological correlates of protection for these diseases.","Suspension for injection","Single dose(0.5 mL)","Serum diphtheria antitoxin level of 0.1 IU/mL is protective.","Intramuscular","Immunization against diphtheria, tetanus, pertussis, and poliomyelitis as the fifth dose in the diphtheria, tetanus, and acellular pertussis (DTaP) vaccine series and the fourth dose in the inactivated poliovirus vaccine (IPV) series.","Distributed by GlaxoSmithKline","US FDA","Aluminium hydroxide","For acellular pertussis, tetanus and poliovirus.","Injection site pain, redness, increase in arm circumference, swelling, drowsiness, fever and loss of appetite.","NA","Single dose","NA","18980534","NA","https://www.fda.gov/media/80128/download","DTaP-IPV","NA"
"1016","Tenivac","Bacteria","Diphtheria","Corynebacterium diphtheriae","Inactivated","DNA","7 years and older","Tetanus and diphtheria toxoids adsorbed (Td vaccine).","Sanofi Pasteur Limited","Canada","2003","Approved","Gram-positive bacillus.","NA","Suspension for injection","Primary Immunization - Three 0.5 mL doses.\nRoutine Booster- Recommended in children 11-12 years of age and every 10 years.","Serum diphtheria antitoxin level of at least of 1.0 IU/mL is for long-term protection.","Intramuscular","Active immunization for the prevention of tetanus and diphtheria.","Distributed by Sanofi Pasteur Inc, USA","US FDA","Aluminium phosphate","For tetanus also.","Pain, headache, injection site redness, swelling, malaise, muscle weakness and pain in joints.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/76610/download","Td","NA"
"1017","Decavac","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","7 years and older","Tetanus and diphtheria toxoids adsorbed (Td vaccine).","Sanofi Pasteur Inc.","United States","1955","Approved","Gram-positive bacillus.","NA","Sterile suspension","Primary Immunization - three 0.5 mL doses.\nRoutine booster - in children 11-12 years of age and every 10 years.","Serum diphtheria antitoxin level-\n0.01 IU/mL  - lowest protection level.\n0.1 IU/mL - Protective\nGreater than or equal to 1.0 IU/mL - Long term protection","Intramuscular","Active immunization for the prevention of tetanus and diphtheria.","NA","US FDA","Alum","For tetanus also.","Pain, headache, injection site swelling and erythema, muscle weakness, tiredness, diarrhoea,  chills, nausea, sore and swollen joints.","NA","Combination doses","NA","NA","NA","https://www.rxlist.com/decavac-drug.htm#description","Td","NA"
"1018","DT Generic","Bacteria","Diphtheria","Corynebacterium diphtheriae","Inactivated","DNA","6 weeks to 6 years","Diphtheria and tetanus toxoids adsorbed (DT vaccine). Use when pertussis is contraindicated.","Sanofi Pasteur Limited","Canada","1997","Approved","Gram-positive bacillus.","NA","Suspension for injection","Five doses at 2, 4, 6, 15-18 months and between 4 and 6 years.","Serum diphtheria antitoxin level of at least 0.1 IU/mL is protective.","Intramuscular","Active immunization against diphtheria and tetanus.","Distributed by Sanofi Pasteur Inc, USA","US FDA","NA","For tetanus also.","Crying, fever, and loss of appetite.","NA","Combination doses","NA","NA","NA","https://www.fda.gov/media/119411/download","Diphtheria and tetanus toxoid adsorbed","NA"
"1019","DT Polio Adsorbed","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","7 years and older","Diphtheria, tetanus and inactivated poliovirus vaccine.","Sanofi Pasteur Ltd","Canada","NA","Approved","Gram-positive bacillus.","99.3% seroprotection rate.","Suspension for injection","Given as a second booster.","Seroprotective threshold of 0.1 IU/mL.","Intramuscular","NA","NA","NA","Aluminium phosphate","For tetanus and inactivated poliovirus.","Erythema, pain and swelling.","NA","Single dose","NA","21441781","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=563&keywords=","DT-IPV","NA"
"1020","Infanrix hexa","Bacteria","Diphtheria","Corynebacterium diphtheriae","Conjugate","DNA","Babies and toddlers","Diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis (inactivated)and Haemophilus influenzae type b conjugate vaccine (adsorbed).","GlaxoSmithKline Biologicals","Belgium","2000","Approved","Gram-positive bacillus.","Between 95 and 100%.","Powder and suspension for injection.","Two or three injections with at least 2 or 1 month gap.","Make antibodies.","Intramuscular","6-in-1 vaccine.","Marketing Authorisation Holder- GlaxoSmithKline UK Limited","European Medicines Agency","NA","For Diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis.","Sleepiness, loss of appetite, high temperature, swelling, pain, redness, unusual crying, feeling irritable, diarrhoea, vomiting, feeling nervous.","NA","Combination doses","NA","NA","NCT01353703","https://www.medicines.org.uk/emc/files/pil.2586.pdf","DTPa-HBV-IPV/Hib","https://www.drugs.com/uk/infanrix-hexa.html"
"1021","Hexaxim","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","From 6 weeks","DTaP-HepB-IPV-Hib fully liquid hexavalent vaccine.","Sanofi Pateur","France","2012","Approved","Gram-positive bacillus.","Between 93 and 100% of the children had protective antibodies levels.","Whitish, cloudy suspension","Primary vaccination: Three doses of 0.5 ml. Booster dose during the second year.","Make antibodies and the active substances are fixed onto aluminium compounds.","Intramuscular","Primary and booster vaccination against diphtheria, tetanus, pertussis, hepatitis B, poliomyelitis and Haemophilus influenzae type b.","NA","WHO","Aluminium hydroxide","For Hib, tetanus, pertussis, hepatitis B, poliomyelitis.","Pain and redness at the injection site, irritability and crying.","NA","Combination doses","NA","NA","NCT02428491","https://www.who.int/immunization_standards/vaccine_quality/pq_284_Hexaxim_1dose_SP_Hexaxim_VPSAR.pdf","Hexyon and Hexacima","https://www.ema.europa.eu/en/documents/outside-eu-summary/hexaxim-medicine-overview_en.pdf"
"1022","Shan-5","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","From 6 weeks","Diphtheria, Tetanus, Pertussis (Whole Cell), Hepatitis B (rDNA) and Haemophilus influenzae type b conjugate vaccine.","Sanofi Healthcare India Private Limited","India","2014","Approved","Gram-positive bacillus.","Seroprotection rate for Diphtheria (100%).","White suspension","Three doses of 0.5 ml, at least 4 weeks gap.","Boosts the immune system and produces protective antibodies.","Intramuscular","Immunization against diphtheria, tetanus, pertussis, hepatitis B and haemophilus influenzae type b in infants.","Marketed by : Sanofi Healthcare India Private Limited","Central Drugs Standard Control Organization, India and WHO pre-qualified.","Aluminium phosphate","For pertussis, Hib, tetanus and hepatitis B.","Pain, redness and swelling at injection site, fever, vomiting, crying, drowsiness, loss of appetite and irritability.","Vaccinee to be medically supervised for at least 30 minutes after vaccination.","Combination doses","NA","NA","NA","https://extranet.who.int/pqweb/content/shan-5-0","NA","https://www.1mg.com/drugs/shan-5-vaccine-264976"
"1023","Actacel","Bacteria","Diphtheria","Corynebacterium diphtheriae","Subunit","DNA","2 months to 6 years","Act-HIB reconstituted with Tripacel is Diphtheria, tetanus, acellular pertussis, Haemophilus influenzae type b conjugate vaccine.","Sanofi Pasteur Ltd","Canada","2001","Approved","Gram-positive bacillus.","NA","White to off-white suspension","Three dose immunization series, interval of 2 months, followed by a fourth dose.","NA","Intramuscular","Immunization against diphtheria, tetanus and pertussis and invasive Haemophilus influenzae type b infections.","Marketing Authorisation Holder: Sanofi Pasteur Ltd, Bangkok, Thailand","NA","Aluminium phosphate","For pertussis, Hib and tetanus.","Injection site tenderness, swelling, redness, fever, fussiness, irritability, less active, eating less, crying, diarrhoea.","NA","Combination doses","NA","NA","NA","http://www.violinet.org/vaxquery/vaccine_detail.php?c_vaccine_id=761","DTaP-Hib","https://www.fda.moph.go.th/sites/drug/Summary/2C_25_44_N.pdf"
"1024","Quinvaxem inj.","Bacteria","Diphtheria","Corynebacterium diphtheriae","Subunit","DNA","From 6 weeks","DTwP-HepB-Hib vaccine.","Berna Biotech Korea Corp.","Korea","2006","Approved","Gram-positive bacillus.","Predefined protective antibody level was 99% diphtheria.","Homogeneous liquid","Primary vaccination : 3 doses of 0.5 mL and one booster dose of 0.5 mL in 15-18 months.","Immunostimulants","Intramuscular","Primary and booster immunisation against diphtheria, tetanus, pertussis, hepatitis B, and invasive illness caused by H. influenzae type b.","Distributed by: GlaxoSmithKline Pharmaceuticals Limited, India","WHO pre-qualified","Aluminium phosphate","For Hib, tetanus, pertussis and hepatitis B recombinant.","Temporary swelling, tenderness and redness together with fever, feeding disorders, sleepiness, irritability.","NA","Both","NA","22889824","NA","https://india-pharma.gsk.com/media/787410/quinvaxem-with-gsk-as-distributor.pdf","DTwP-HepB-Hib","https://www.who.int/immunization_standards/vaccine_quality/pq_283_dtphepbhib_1dose_cPAD_Crucell_Korea_PI.pdf"
"1025","EasyFive-TT","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","From 6 weeks","Pentavalent vaccine (DTwP-HepB-Hib).","Panacea Biotech Ltd.","India","2009","Approved","Gram-positive bacillus.","The anti-diphtheria seroprotection rate was 97.7%.","Sterile and uniform suspension.","First dose as early as 6 weeks and two subsequent doses given at 4 week interval.","NA","Intramuscular","Immunization against diphtheria, tetanus, whole cell pertussis, hepatitis B and Haemophilus influenzae type b infections.","Marketing Authorisation Holder: Panacea Biotech Ltd, India","WHO","Aluminium phosphate","For pertussis, Hib, tetanus, hepatitis B.","Temporary swelling, tenderness and redness with fever, feeding disorders, sleepiness, irritability.","NA","Combination doses","NA","NA","NA","https://www.who.int/immunization_standards/vaccine_quality/pq_270_penta_panacea_10dose_product_insert.pdf?ua=1","NA","https://cdsco.gov.in/opencms/resources/UploadCDSCOWeb/2018/UploadSmPC/1850ml.pdf"
"1026","Pentaxim","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","From 2 months","Adsorbed diphtheria, tetanus, pertussis (acellular component), inactivated poliomyelitis and Haemophilus influenzae type b conjugate vaccine.","Sanofi Pasteur Ltd.","Thailand","1997","Approved","Gram-positive bacillus.","92.2–100% of infants achieved seroprotective levels of anti-diphtheria (greater than or equal to 0.01 IU/ml).","Powder and suspension","Two injections at 2 and 4 months of age and a booster at the age of 11 months OR three injections, gap of 1 to 2 months and booster within the second year of life.","NA","Intramuscular","Immunization against diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis and Hib.","Marketing Authorisation Holder: Sanofi Pasteur SA, France","European Union Pharmacopoeia","Aluminium hydroxide ","For diphtheria, tetanus, acellular pertussis, inactivated poliomyelitis and Hib.","Injection site redness, swelling, pain, fever, vomiting, irritability, abnormal crying, nervousness, loss of appetite, somnolence.","NA","Combination doses","NA","21749196","NA","https://www.fda.moph.go.th/sites/drug/Shared%20Documents/Vaccine/U1DR2C1062470002211C-SPC.pdf","DTaP-IPV//PRP-T, Pentavac (in Western Europe)","NA"
"1027","Pediacel","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","Over 6 weeks","Diphtheria, tetanus toxoids, acellular pertussis vaccine adsorbed combined with inactivated poliomyelitis vaccine and haemophilus b conjugate vaccine \n(Tetanus protein conjugate).","Sanofi Pasteur Limited","Canada","2004","Approved","Gram-positive bacillus.","Anti-diphtheria seroprotection rates was 39.3%–86.1% after a three-dose primary series.","White to off-white suspension for injection","Primary vaccination: Two or three dose series, gap of at least 1 month.\nBooster vaccination: Single dose, 6 months after the last dose.","Serum diphtheria antitoxin level- \n0.01 IU/mL : lowest level giving some degree of protection.\nat least 0.1 IU/mL : Protective.\n 1.0 IU/mL : Long-term protection","Intramuscular","Immunization against diphtheria, tetanus, pertussis, poliomyelitis and Haemophilus influenzae type b disease.","EU marketing authorisation","NA","Aluminium phosphate","For diphtheria, tetanus, pertussis, poliomyelitis and Hib.","Redness, swelling or tenderness, irritability, less activity, vomiting, unusual high-pitched crying, fever, appetite loss, diarrhoea.","NA","Combination doses","NA","21999652","NA","NA","NA","https://pdf.hres.ca/dpd_pm/00015723.PDF"
"1028","Tripacel","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","2 months to 6 years","Diphtheria, tetanus toxoids and acellular pertussis vaccine adsorbed.","Sanofi Pasteur Limited","Canada","1998","Approved","Gram-positive bacillus.","NA","White to off-white suspension for injection","Four dose series with 3 doses at gap of 2 months, followed by a booster dose 6 to 12 months after the third dose.","NA","Intramuscular","Immunization against diphtheria, tetanus and pertussis.","Marketing Authorisation Holder: Sanofi Pasteur Ltd, Bangkok, Thailand","Thailand FDA","Aluminium phosphate","Also for pertussis and tetanus.","Drowsiness, injection site tenderness, swelling, redness, fever, irritability, decreased feeding.","NA","Combination doses","NA","NA","NA","https://www.fda.moph.go.th/sites/drug/Summary/2C_18_41_N.pdf","DTaP","NA"
"1029","Tetravac or Tetravac Acellulaire","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","2 to 24 months","Diphtheria, tetanus, pertussis (acellular, component) and poliomyelitis (inactivated) vaccine, adsorbed."," Sanofi Pasteur","France","NA","Approved","Gram-positive bacillus.","NA"," Suspension for injection","Schedule 1: Three primary doses and one booster.\nSchedule 2: Three primary doses with no booster.","NA","Intramuscular","NA","Marketing Authorisation Holder : Sanofi Pasteur Europe","Member States of the EEA","Aluminium hydroxide","For tetanus, pertussis and poliomyelitis.","Loss of appetite, irritability, abnormal crying, drowsiness, headache, vomiting, myalgia, redness, pain, swelling, fever and malaise.","NA","Combination (3 or 4 doses)","NA","NA","NA","https://www.drugs.com/uk/tetravac-suspension-for-injection-leaflet.html","NA","NA"
"1030","Boostrix Polio","Bacteria","Diphtheria","Corynebacterium diphtheriae","Combination","DNA","From 4 years","Combined diphtheria, tetanus, acellular pertussis and enhanced inactivated polio vaccine. ","GlaxoSmithKline Biologicals","Belgium","2007","Approved","Gram-positive bacillus.","NA","Suspension for injection","Single dose of 0.5 mL.","NA","Intramuscular","Booster vaccination against diphtheria, tetanus, pertussis and poliomyelitis.","Marketing Authorisation Holder : GlaxoSmithKline (Thailand) Ltd. ","Thailand FDA","Aluminium hydroxide and aluminium phosphate","For tetanus, pertussis and inactivated poliovirus.","Somnolence, injection site reactions, headache, malaise and fatigue.","NA","Single dose","NA","NA","NA","https://www.fda.moph.go.th/sites/drug/Summary/2C_14_50_NB_BOOSTRIX%20POLIO.pdf","NA","NA"
